id;spkid;full_name;pdes;name;prefix;neo;pha;H;diameter;albedo;diameter_sigma;orbit_id;epoch;epoch_mjd;epoch_cal;equinox;e;a;q;i;om;w;ma;ad;n;tp;tp_cal;per;per_y;moid;moid_ld;sigma_e;sigma_a;sigma_q;sigma_i;sigma_om;sigma_w;sigma_ma;sigma_ad;sigma_n;sigma_tp;sigma_per;class;rms
a0000001;2000001;     1 Ceres;1;Ceres;;N;N;3.4;939.4;0.09;0.2;JPL 47;2458600.5;58600;20190427;J2000;0.076009027;2.769165149;2.558683601;10.5940672;80.3055309;73.5976947;77.37209752;2.979646696;0.213885227;2458238.754;20180430.25;1683.145703;4.608201787;1.59478;620.6405326;4.819E-12;1.0328E-11;1.9569E-11;4.6089E-09;6.1688E-08;6.6248E-08;7.8207E-09;1.1113E-11;1.1965E-12;3.7829E-08;9.4159E-09;MBA;0.43301
a0000002;2000002;     2 Pallas;2;Pallas;;N;N;4.2;545;0.101;18;JPL 37;2459000.5;59000;20200531;J2000;0.229972259;2.773841435;2.135934854;34.83293159;173.0247412;310.2023924;144.9756755;3.411748015;0.213344586;2458320.962;20180721.46;1687.410992;4.619879512;1.23429;480.3486393;3.1934E-08;4.0337E-09;8.8322E-08;3.4694E-06;6.2724E-06;9.1282E-06;8.8591E-06;4.9613E-09;4.6536E-10;0.000040787;3.6807E-06;MBA;0.35936
a0000003;2000003;     3 Juno;3;Juno;;N;N;5.33;246.596;0.214;10.594;JPL 112;2459000.5;59000;20200531;J2000;0.256936435;2.668285288;1.98270558;12.9910435;169.8514825;248.0661933;125.4353546;3.353864996;0.226128698;2458445.792;20181123.29;1592.013769;4.358696149;1.03429;402.5146393;3.052E-08;3.4718E-09;8.1392E-08;3.2231E-06;0.000016646;0.000017721;8.1104E-06;4.3639E-09;4.4134E-10;0.000035288;3.1072E-06;MBA;0.33848
a0000004;2000004;     4 Vesta;4;Vesta;;N;N;3;525.4;0.4228;0.2;JPL 35;2458600.5;58600;20190427;J2000;0.08872146;2.361417894;2.151909451;7.141771088;103.810804;150.7285411;95.86193772;2.570926337;0.271609402;2458247.56;20180509.06;1325.432763;3.628837134;1.13948;443.4514316;2.3321E-10;1.5143E-09;1.9286E-09;2.1706E-07;3.8808E-07;1.7893E-07;1.2068E-06;1.6486E-09;2.6125E-10;4.1037E-06;1.2749E-06;MBA;0.3998
a0000005;2000005;     5 Astraea;5;Astraea;;N;N;6.9;106.699;0.274;3.14;JPL 114;2459000.5;59000;20200531;J2000;0.190913344;2.57403728;2.082619215;5.367427136;141.5710265;358.648418;17.84634261;3.065455345;0.238661203;2458925.723;20200317.22;1508.414421;4.12981361;1.09575;426.4330275;2.3737E-08;3.9709E-09;6.0924E-08;2.7408E-06;0.000028949;0.000029842;8.3038E-06;4.729E-09;5.5227E-10;0.000034743;3.4905E-06;MBA;0.52191
a0000006;2000006;     6 Hebe;6;Hebe;;N;N;5.8;185.18;0.2679;2.9;JPL 89;2459000.5;59000;20200531;J2000;0.203218826;2.424532679;1.931821993;14.73965332;138.6434315;239.7362732;190.6864963;2.917243364;0.261073031;2459649.029;20220310.53;1378.924506;3.775289545;0.973673;378.9243214;1.9786E-08;2.7482E-09;4.8119E-08;2.1918E-06;0.000011221;0.000013006;7.3922E-06;3.3067E-09;4.4388E-10;0.000028754;2.3445E-06;MBA;0.41032
a0000007;2000007;     7 Iris;7;Iris;;N;N;5.6;199.83;0.2766;10;110;2459000.5;59000;20200531;J2000;0.230145044;2.387375341;1.837932737;5.521598289;259.5639434;145.2015446;247.4258115;2.936817944;0.267191734;2459421.824;20210726.32;1347.347071;3.688835238;0.850693;331.0641948;1.9919E-08;2.0075E-09;4.7488E-08;2.5825E-06;0.000026412;0.000027075;7.0147E-06;2.4695E-09;3.3701E-10;0.000026627;1.6994E-06;MBA;0.38128
a0000008;2000008;     8 Flora;8;Flora;;N;N;6.5;147.491;0.226;1.025;JPL 118;2459000.5;59000;20200531;J2000;0.155832793;2.201414665;1.85836207;5.889080655;110.8765239;285.4589151;315.318013;2.54446726;0.301752788;2459148.575;20201026.07;1193.029574;3.266336959;0.87598;340.9051366;2.3644E-08;2.3084E-09;5.176E-08;3.2403E-06;0.00002432;0.000026646;0.000012092;2.6681E-09;4.7462E-10;0.000040187;1.8765E-06;MBA;0.54186
a0000009;2000009;     9 Metis;9;Metis;;N;N;6.3;190;0.118;;JPL 116;2459000.5;59000;20200531;J2000;0.123300238;2.386189446;2.091971719;5.576493847;68.90945926;6.33732452;23.91220404;2.680407172;0.267390943;2458911.072;20200302.57;1346.343282;3.686087013;1.10711;430.8539987;1.8414E-08;3.0893E-09;4.4258E-08;2.0074E-06;0.00002417;0.000026008;0.000010366;3.4702E-09;5.1927E-10;0.000038707;2.6146E-06;MBA;0.44895
a0000010;2000010;    10 Hygiea;10;Hygiea;;N;N;5.5;407.12;0.0717;6.8;JPL 96;2459000.5;59000;20200531;J2000;0.11211732;3.142435384;2.79011395;3.831786066;283.1984443;312.4129317;222.8505434;3.494756817;0.176931247;2459775.657;20220715.16;2034.688644;5.570673906;1.7803;692.839351;1.6346E-08;6.9236E-09;5.0952E-08;2.1734E-06;0.000028552;0.000030237;0.000011246;7.6998E-09;5.8474E-10;0.000064829;6.7244E-06;MBA;0.53434
